abatement	decrease
impacting	hitting, changing
impacts	hits, changes
impair	harm, weaken, reduce
impaired	harmed, weakened, reduced
impairing	harming, weakening, reducing
impairs	harms, weakens, reduces
impartial	fair, just
impartially	fairly
impeccable	faultless
impeccably	faultlessly
impecunious	poor
imperative	urgent
imperatively	urgently
imperceptible	very slight
imperfection	fault, flaw, defect
imperfections	faults, flaws, defects
impertinent	rude
impetuous	rash, impulsive
impetuously	impulsively
impinge	strike, hit
impinged	hit
impinges	strikes, hits
impinging	striking, hitting
implement	carry out, start
implementation	carrying out
implemented	carried out, did
implementing	carrying out, starting
implements	carries out, starts
impolite	rude
importunate	urgent
importunately	urgently
impoverished	poor
impracticable	unworkable
improvident	not thrifty, lacking foresight
improvidently	lacking foresight
imprudent	rash, impulsive
imprudently	impulsively
inaccuracies	mistakes
inaccuracy	mistake
inactive	idle
inadvertent	careless
inadvertently	carelessly
inadvisable	unwise
inadvisably	unwisely
inanimate	lifeless
inanimately	lifelessly
inapplicable	not suited
inattentive	careless
inattentively	carelessly
inaugurate	begin
inaugurated	begun
inaugurates	begins
inaugurating	beginning
inauspicious	unlucky
inauspiciously	unluckily
inception	start
inception's	start's
inceptions	starts
incipient	beginning
incision	cut
incision's	cut's
incisions	cuts
incisive	cutting
incite	rouse, stir up
incited	roused, stirred up
incites	rouses, stirs up
inciting	rousing, stirring up
inclement	harsh, severe, stormy
incoherent	confused
incombustible	fireproof
incompetent	unfit
incomplete	partial
incompletely	partially
inconsiderate	thoughtless
inconsiderately	thoughtlessly
inconstant	fickle
inconvenience	bother
inconveniences	bothers
incorporate	blend, join, mix
incorporated	blended, joined, mixed
incorporates	blends, joins, mixes
incorporating	blending, joining, mixing
incredulity	doubt
indefatigable	tireless
indelicate	coarse, rough
indemnified	repaid, paid back
indemnifies	repays, pays back
indemnify	repay, pay back
indemnifying	repaying, paying back
indeterminate	vague
indeterminately	vaguely
indicate	show
indicated	shown
indicates	shows
indicating	showing
indication	sign
indication's	clue's, sign's
indications	clues, signs
indigent	poor, needy
indiscriminate	confused, random
indiscriminately	randomly
individual	person, single
individuals	people
indolent	lazy
indolently	lazily
indubitable	certain
indubitably	certainly
ineffectual	useless
ineffectually	uselessly
inexhaustible	tireless
inexhaustibly	tirelessly
inexpedient	unwise
inexpediently	unwisely
inferior	lesser
inferno	fire
inferno's	fire's
infernos	fires
infirmities	weaknesses
infirmity	weakness
inform	tell
infrastructure	system
infrastructure's	system's
infrastructures	systems
infrequent	rare
infrequently	rarely
ingenuous	frank, open
ingenuously	frankly, openly
inhibit	hinder
inhibited	hindered
inhibiting	hindering
inhibition	restraint
inhibitions	restraints
inhibits	hinders
inimitable	unmatched
iniquitous	wicked
iniquitously	wickedly
initial	first
initialisation	start
initialisations	starts
initialise	start
initialised	started
initialises	starts
initialising	starting
initialization	start
initializations	starts
initialize	start
initialized	started
initializes	starts
initializing	starting
initially	at first
initiate	start
initiated	started
initiates	starts
initiating	starting
injudicious	unwise
injudiciously	unwisely
innocuous	harmless
innocuously	harmlessly
inoperative	broken, not working
inquire	ask
inquired	asked
inquires	asks
inquiries	questions
inquiring	asking
inquiry	question
inquiry's	question's
inquisitive	curious, prying
inquisitively	curiously
insensible	unaware
insidious	wily, sly, tricky
insinuate	hint, suggest
insinuated	hinted, suggested
insinuates	hints, suggests
insinuating	hinting, suggesting
insinuation	hint, suggestion
insinuations	hints, suggestions
insipid	weak
insolvent	bankrupt
instantly	right away
institution	office, company, school
insubordination	disobeying
insubstantial	flimsy
insubstantially	flimsily
insufficient	not enough
insurrection	revolt, rebellion
insurrections	revolts, rebellion
intelligent	smart, clever
intention	plan
intention's	plan's
intentions	plans
interdict	forbid
interdicted	forbade
interdicting	forbidding
interdicts	forbids
interminable	endless
interminably	endlessly
internal	inner, inside
internecine	deadly
interrogate	question
interrogated	questioned
interrogates	questions
interrogating	questioning
interrogation	questioning
intimate	hint, suggest
intimated	hinted, suggested
intimates	hints, suggests
intimating	hinting, suggesting
intractable	stubborn
intractably	stubbornly
intrepid	fearless
intrepidly	fearlessly
inundate	flood
inundated	flooded
inundates	floods
inundating	flooding
invaluable	priceless
investigate	review, check, look over
investigated	reviewed, checked, looked over
investigates	reviews, checks, looks over
investigating	reviewing, checking, looking over
inviolable	sacred
irreproachable	faultless
irreproachably	faultlessly
jocular	funny
jocund	happy, lighthearted
justified	proved/proven
justifies	proves
justify	prove
justifying	proving
laceration	cut, tear
lacerations	cuts, tears
laggard	slow
laggardly	slowly
languorous	listless
legislation	law
legislation's	law's
legislations	laws
legitimate	valid, real, proper, normal
legitimately	validly, properly, normally
lethargic	dull, slow
lethargically	dully, slowly
limitation	limit
limitation's	limit's
limitations	limits
locatable	findable
locate	find
located	found
locates	finds
locating	finding
location	place
location's	place's
locations	places
lucent	bright
lucid	clear
lucidity	clarity
lucidly	clearly
lugubrious	sad
luminous	bright
mademoiselle	lady
mademoiselle's	lady's
mademoiselles	ladies
magnitude	size
maintain	keep, support
maintained	kept, supported
maintaining	keeping, supporting
maintains	keeps, supports
majority	most
malediction	curse
maledictions	curses
malevolence	spite, maliciousness
malformation	abnormal shape, deformity
manner	way
manually	by hand
manufacture	make
manufactured	made
manufactures	makes
manufacturing	making
marauder	robber
marauder's	robber's
marauders	robbers
marionette	puppet
marionette's	puppet's
marionettes	puppets
massive	large
masticate	chew
masticated	chewed
masticates	chews
masticating	chewing
material	content
materials	content
maximum	most, greatest
melancholies	depressions
melancholy	sadness, depression, sad (adj.)
mendacious	lying, false
mendicant	beggar
mendicants	beggars
mentality	mind
mercurial	rash, impulsive
mercurially	impulsively
meritorious	worthy
methodologies	methods, designs, plans
methodology	method, design, plan
methodology's	method's, design's, plan's
meticulous	very careful
militate	fight
militated	fought
militates	fights
militating	fighting
minimisation	decrease, reduction
minimisations	decreases, reductions
minimise	decrease, lessen
minimised	decreased, lessened
minimises	decreases, lessens
minimising	decreasing, lessening
minimization	decrease, reduction
minimizations	decreases, reductions
minimize	decrease, lessen
minimized	decreased, lessened
minimizes	decreases, lessens
minimizing	decreasing, lessening
minimum	least, smallest
minuteness	smallness
misapprehension	wrong idea
misapprehensions	wrong ideas
miscellanies	mixtures
miscellany	mixture
mitigate	moderate
mitigated	moderated
mitigates	moderates
mitigating	moderating
modifiability	changeability
modifiable	changeable
modification	change
modification's	change's
modifications	changes
modified	changed
modifies	changes
modify	change
modifying	changing
mollified	soothed
mollifies	soothes
mollify	soothe
mollifying	soothing
monitor	check, watch
monitored	checked, watched
monitoring	checking, watching
monitors	checks, watches
mordant	biting, sarcastic
motionless	still, inert
mountainous	large, bulky
multiple	many
municipality	city
mutable	fickle, prone to change
nauseous	sickening
nebulous	hazy, vague
nebulously	vaguely
necessarily	needed, needed to
necessary	needed
necessitate	cause, need
necessitated	caused, needed
necessitates	causes, needs
necessitating	causing, needing
necessity	need
neglectful	careless
neglectfully	carelessly
neighboring	next to, next-door
neighbouring	next to, next-door
nemesis	enemy
nemesis's	enemy's
neutralize	offset
neutralized	offset
neutralizes	offsets
neutralizing	offsetting
not-so-obvious	unclear
notation	note
notations	notes
notification	alert, notice, message, statement, warning
notifications	alerts, notices, messages, statements, warnings
notified	let know, told
notifies	lets know, tells
notify	let know, tell
notifying	letting know, telling
notwithstanding	even though, though, even if, despite
numerate	count
numerated	counted
numerates	counts
numerating	counting
numerous	many
nutriment	food
obdurate	stubborn
objective	aim, goal
objective's	aim's, goal's
objectives	aims, goals
obligate	bind, compel, pledge
obligated	bound, compelled, pledged
obligates	pledges, binds, compels
obligating	pledging, binding, compelling
obligation	duty, pledge
obligations	duties, pledges
oblige	compel, force
obliged	compelled, forced
obliges	compels, forces
obliging	compelling, forcing
oblique	slanting
obliterate	wipe out, erase, destroy
obliterated	wiped out, erased, destroyed
obliterates	wipes out, erases, destroys
obliterating	wiping out, erasing, destroying
oblivious	forgetful, clueless
obliviously	forgetfully
obloquy	abuse, shame
obscured	hidden
obsequious	fawning
obsequiously	fawningly
observe	watch
observed	saw, seen, watched
observes	sees, watches
observing	seeing, watching
obstacle	problem
obstacle's	problem's
obstacles	problems
obstinate	stubborn
obstinately	stubbornly
obstreperous	unruly
obstruct	block
obstructed	blocked
obstructing	blocking
obstruction	block, hurdle
obstructions	blocks, hurdles
obstructs	blocks
obtain	get
obtained	got
obtaining	getting
obtains	gets
obviate	wipe out
obviated	wiped out
obviates	wipes out
obviating	wiping out
occur	happen
occurred	happened
occurrence	event, instance
occurrences	events, instances
occurs	happens
odious	hateful
odiously	hatefully
odium	hatred, blame
officious	meddling
ongoing	continuing
operate	run, use, work
operated	ran, worked
operates	runs, works
operating	running, working
operational	working
opportunities	chances
opportunity	chance
opprobrium	scorn, abuse
optimum	best, greatest, most
option	choice, way
option's	choice's, way's
options	choices, ways
opulent	rich
ordinance	rule, law
ordinances	rules, laws
organisation's	company's
organisations	companies
organization's	company's
organizations	companies
orientate	orient
orifice	opening, hole
orifices	openings, holes
ostentation	show, display
ostentations	shows, displays
ostracize	banish
ostracized	banished
ostracizes	banishes
ostracizing	banishing
palatable	pleasing
panacea	cure-all
pandemonium	uproar
paragon	model
parallelism	likeness
parameters	limits
paramount	top, chief, supreme
pariah	outcast
pariahs	outcasts
parlance	talk
parlances	talks
parlous	shrewd
parsimonious	stingy
parsimoniously	stingily
participate	take part
participated	took part
participates	take start
participating	taking part
particular	specific
particularize	state in detail
particularized	stated in detail
particularizes	states in detail
particularizing	stating in detail
peevish	cross
peevishly	crossly
pendulous	hanging, swinging
penitent	sorry, remorseful
penitently	remorsefully
penultimate	next to last
penurious	stingy
penuriously	stingily
peremptory	positive
perforation	hole
perforations	holes
perform	do
performed	did/done
performing	doing
performs	does
peripatetic	walking about
peripheries	outer edges
periphery	outer edge
permit	let
permitted	let
permitting	letting
perpetrate	commit
perpetrated	committed
perpetrates	commits
perpetrating	committing
perpetuity	forever
persevere	persist
persevered	persisted
perseveres	persists
persevering	persisting
personnel	staff, people
personnel's	staff's, people's
persons	people
perspicacious	keen
perspicaciously	keenly
perspicuous	clear
perspicuously	clearly
perspiration	sweat
pertinacity	persistent
pertinence	relevance
peruse	review, read
perused	read, reviewed
peruses	reads, reviews
perusing	reading, reviewing
petulance	irritable, ill-tempered
phantom	ghost
phantom's	ghost's
phantoms	ghosts
phlegmatic	sluggish
phlegmatically	sluggishly
physician	doctor
physician's	doctor's
physicians	doctors
pinnacle	peak
placate	soothe
placated	soothed
placates	soothes
placating	soothing
plaintive	sad, mournful
plebeian	common, vulgar
plenary	full
plenteous	plenty
poignant	moving, intense, sincere, heartfelt
poignantly	movingly, intensely, sincerely
polemic	dispute, argument
polemics	disputes, arguments
poltergeist	ghost
poltergeist's	ghost's
poltergeists	ghosts
portion	part
portion's	part's
portions	parts
position	place
position's	place's
positioned	placed
positioning	placing
positions	places
possess	have
possessed	had, owned
possesses	has, owns
possessing	having, owning
posterior	rear
practicable	can be done
preachment	sermon
preachments	sermons
precept	rule
precepts	rules
precipitant	rash, hasty, impulsive
precipitation	rain, snow, dew, frost
preclude	prevent
precluded	prevented, excluded, shut out
precludes	prevents, excludes, shuts out
precluding	excluding, shutting out, preventing
precursor	forerunner
precursors	forerunners
predestination	fate
predicament	problem
predicament's	problem's
predicaments	problems
predilection	liking, bias, inclination, leaning
predilections	likings, biases, inclinations, leanings
predisposition	tendency
predispositions	tendencies
predominant	superior
predominantly	superiorly
preeminent	top, peerless, supreme
preeminently	supremely
preferable	better
preparation	readiness
preparedness	readiness
preponderant	overpowering, overruling, major, chief, dominant
preposterous	senseless, absurd
prescience	foresight
prescribed	set
presently	now
presumptuous	bold, forward
presumptuously	boldly, forwardly
prevaricate	lie, evade, shift
prevaricated	lied, evaded, shifted
prevaricates	lies, evades, shifts
prevaricating	lying, evading, shifting
preventative	preventive
previous	earlier
previously	before
primarily	mainly, firstly
primary	main, first
primordial	primate
prior	earlier
prioritisation	ranking
prioritisation's	ranking's
prioritisations	rankings
prioritise	rank
prioritised	ranked
prioritises	ranks
prioritising	ranking
prioritization	ranking
prioritization's	ranking's
prioritizations	rankings
prioritize	rank
prioritized	ranked
prioritizes	ranks
prioritizing	ranking
probabilities	chances
probability	chance
probability's	chance's
problematical	doubtful
procedure	rule, way, method
procedure's	rule's, way's
procedures	rules, ways, methods
proceed	do, go ahead, try
proceeded	did/done, went on
proceeding	doing, going on
proceeds	does, goes on
procure	get
prodigious	immense, huge, amazing
prodigiously	immensely, hugely, amazingly
produced	made
produces	makes
producing	making
proffer	offer
proffered	offered
proffering	offering
proffers	offers
proficiencies	skills
proficiency	skill
proficiency's	skill's
proficient	expert, skilled
proficiently	skillfully
profligacy	extravagance, abundance
profound	deep, thoughtful
profoundly	deeply, thoughtfully
progeny	children
prognosticate	forecast, foresee, project
prognosticated	forecasted, foresaw, projected
prognosticates	forecasts, foresees, projects
prognosticating	forecasting, foreseeing, projecting
program	plan
prohibited	not allowed
promulgate	announce, proclaim
promulgated	announced, proclaimed
promulgates	announces, proclaims
promulgating	announcing, proclaiming
promulgation	announcement
promulgation's	announcement's
promulgations	announcements
propagate	breed, reproduce
propagated	bred, reproduced
propagates	breeds, reproduces
propagating	breeding, reproducing
propensities	inclinations, tendencies
propensity	inclination, tendency
propitiate	appease
propitiated	appeased
propitiates	appeases
propitiating	appeasing
proprieties	decencies
propriety	decency, rightness, justness, aptness, fitness
proscribe	outlaw, banish, censure, disapprove
proscribed	outlawed, banished, censured, disapproved
proscribes	outlaws, banishes, censures, disapproves
proscribing	outlawing, banishing, censuring, disapproving
proselyte	convert, disciple
proselytes	converts, disciples
provide	give
proximity	nearness
puissance	power, might, force
punctilious	exact
punctiliously	exactly
pungent	bitter, acrid, sharp, poignant
pungently	bitterly, acridly, sharply, poignantly
purchase	buy
purchased	bought
purchaser	buyer
purchaser's	buyer's
purchasers	buyers
purchases	buys
purchasing	buying
purloin	steal
purloined	stole
purloining	stealing
purloins	steals
pursuit	chase
pusillanimous	cowardly, fearful, frightened, timid
putrefaction	decay, rot
quadrilateral	four-sided
quandaries	problems
quandary	problem
quandary's	problem's
quantify	measure
quarrelsome	cross
quarry	prey
querulous	fretful
querulously	fretfully
quiescent	still, quiet
quiescently	quietly
radiant	bright
radiantly	brightly
ramification	consequence, branch, part
ramifications	consequences, branches, parts
rapid	quick
rapidly	quickly
ratification	approval
recapitulate	sum up
recapitulated	summed up
recapitulates	sums up
recapitulating	summing up
recapitulation	summation
recapitulation's	summation's
recapitulations	summations
reciprocal	mutual
reciprocally	mutually
reciprocate	give in return
reciprocated	gave in return
reciprocates	gives in return
reciprocating	giving in return
recommend	suggest
recommended	suggested
recommending	suggesting
recommends	suggests
reconciliation	settlement
recondite	obscured, hidden
reconnaissance	survey
recuperate	get well
recuperated	got well
recuperates	gets well
recuperating	getting well
reduce	cut
reduced	cut
reduces	cuts
reducing	cutting
reduction	cut
reduction's	cut's
reductions	cuts
reflect	say, show
refractory	stubborn
regarding	about, of, on
regimen	routine, rule
regulation	rule, law
regulations	rules, laws
rehabilitate	restore
rehabilitated	restored
rehabilitates	restores
rehabilitating	restoring
reimburse	pay back
reimbursed	paid back
reimburses	pays back
reimbursing	paying back
reinforce	strengthen
reinforced	strengthened
reinforces	strengthens
reinforcing	strengthening
rejoinder	reply
relinquish	give up
relinquished	gave up
relinquishes	gives up
relinquishing	giving up
relocate	move
relocated	moved
relocates	moves
relocating	moving
relocation	move
relocation's	move's
relocations	moves
remain	stay
remainder	rest, left over
remainder's	rest's, left overs
remained	stayed
remaining	staying, left over
remains	stays
remedies	cures
remedy	cure
remiss	slack, negligent
remonstrate	protest
remonstrated	protested
remonstrates	protests
remonstrating	protesting
remunerate	pay
remunerated	paid, compensated
remunerates	pays, compensates
remunerating	paying, compensating
remuneration	pay, payment
remuneration's	pay's
remunerations	pays
repentance	regret
replica	copy
replicas	copies
reprehend	blame
reprehended	blamed
reprehending	blaming
reprehends	blames
represents	is
repudiate	reject, disown
repudiated	rejected, disowned
repudiates	rejects, disowns
repudiating	rejecting, disowning
repugnance	distaste, dislike
request	ask
requested	asked
requesting	asking
requests	asks
require	need
required	needed
requirement	need
requirement's	need's
requirements	needs
requires	needs
requiring	needing
requisite	required, needed
requisites	necessities
rescind	repeal, cancel
rescinded	repealed, canceled
rescinding	repealing, canceling
rescinds	repeals, cancels
resemblance	likeness
reside	live
residence	house, home
residences	houses, homes
resolute	firm
respond	answer
responsibilities	jobs, duties
responsibility	duty, job
resuscitate	revive
resuscitated	revived
resuscitates	revives
resuscitating	reviving
retain	keep
retained	kept, held
retaining	keeping, holding
retains	keeps, , holds
retention	keeping, holding
reticent	silent
retrogress	get worse, move backward
retrogressed	got worse, moved backward
retrogresses	gets worse, moves backward
retrogressing	getting worse, moving backward
revenue	income
revenues	income
reversion	return
review	check
reviewed	checked
reviewing	checking
reviews	checks
revocation	repeal
revocations	repeals
righteousness	virtue
rigidity	stiffness
rigorous	harsh, strict
rigorously	harshly, strictly
risible	funny
rotundity	roundness
rubicund	red, reddish, ruddy
ruminate	ponder
ruminated	pondered
ruminates	ponders
ruminating	pondering
saccharine	sweet
sagacious	wise
sagaciously	wisely
salacious	lewd, vulgar
salaciously	lewdly, vulgarly
salient	important, striking, remarkable
saliently	importantly, strikingly, remarkably
saline	salty
salutation	greeting
salutations	greetings
sanitarily	cleanly, healthily
sanitary	clean, healthy
satisfied	happy, content
saturate	soak, fill
saturated	soaked, filled
saturates	soaks, fills
saturating	soaking, filling
savory	tasty
scandalous	shocking
scandalously	shockingly
scintillate	sparkle, twinkle
scintillated	sparkled, twinkled
scintillates	sparkles, twinkles
scintillating	sparkling, twinkling
scrutinize	inspect, examine
scrutinized	inspected, examined
scrutinizes	inspects, examines
scrutinizing	inspecting, examining
sebaceous	fatty, greasy
secondly	second
segment	part
segments	parts
segregate	set apart, separate
segregated	set apart, separated
segregates	sets apart, separates
segregating	setting apart, separating
selection	choice
semblance	likeness
sequestration	removal
sequestrations	removals
serpentine	twisting, snaking, sly
shortly	soon
similar	like
similarities	likenesses
similarity	likeness
simplified	eased
simplifies	eases
simplify	ease
simplifying	easing
simultaneously	at the same time
sinecure	easy job
sinecures	easy jobs
skepticism	doubt
skepticisms	doubts
slovenly	untidy
solicit	ask for, request
solicited	asked for, requested
soliciting	asking for, requesting
solicitous	anxious, eager
solicits	asks for
solitary	alone, single
spacious	vast
specter	ghost
specter's	ghost's
specters	ghosts
speculate	reflect, guess, surmise, suppose
speculated	reflected, guessed, surmised, supposed
speculates	reflects, guesses, surmises, supposes
speculating	reflecting, guessing, surmising, supposing
state-of-the-art	latest
strategies	plans
strategy	plan
strategy's	plan's
stratifications	layers
stringent	strict, tight
stringently	strictly, tightly
stultified	made foolish
stultifies	makes foolish
stultify	make foolish
stultifying	making foolish
stupefaction	stupor
stupefactions	stupors
subjugate	subdue
subjugated	subdued
subjugates	subdues
subjugating	subduing
subjugation	conquest
subjugations	conquests
sublimity	majesty
submit	give, send
submits	sends, gives
submitted	sent, gave
submitter	giver, sender
submitter's	giver's, sender's
submitters	givers, senders
submitting	sending, giving
subsequent	later, next
subsequently	later, after
subservient	servile
substantial	real, strong, large
substantially	really, strongly, largely
substantiate	prove
substantiated	proved
substantiates	proves
substantiating	proving
subterfuge	trick, ploy
sufferance	consent
sufficient	enough, ample
sufficiently	amply
suitability	fitness
summon	send for
sumptuous	costly, rich
supercilious	arrogant, scornful
superciliously	arrogantly, scornfully
superior	better, boss
superlative	surpassing, excellent
superlatively	surpassingly, excellently
supersede	replace
superseded	replaced
supersedes	replaces
superseding	replacing
supplemental	added, extra
suppurate	fester
suppurated	festered
suppurates	festers
suppurating	festering
surreptitious	secret, stealthy
surreptitiously	secretly, stealthily
sustenance	support, nourishment
tabulation	table
tabulations	tables
tantalize	tease
tantalized	teased
tantalizes	teases
tantalizing	teasing
technicalities	details
technicality	detail
tempestuous	stormy
tempestuously	stormily
tenuous	thin, slender, slight, trivial
tenuously	slightly, trivially
terminate	end, stop
terminated	ended, stopped
terminates	ends, stops
terminating	ending, stopping
terminus	end
tertiary	third
thereafter	then, afterwards
therefore	so, thus
therein	there
thereof	its, their
therewith	with
thirdly	third
thoroughfare	road
thoroughfare's	road's
thoroughfares	roads
thusly	thus
timely	prompt
titillate	tickle
titillated	tickled
titillates	tickles
titillating	tickling
tranquility	quietness
transcendent	superior
transcendently	superiorly
transcription	copy
transcriptions	copies
transmit	send
transmits	sends
transmitted	sent
transmitting	sending
transparency	clearness
transparent	clear
transparently	clearly
transpiration	happening, occurrence
transpirations	happenings, occurrences
transpire	take place, happen
transpired	took place, happened
transpires	takes place, happens
transpiring	happening, occurring
trenchant	sharp, keen
trepidation	fear
trepidations	fears
tribulation	trouble
tribulations	troubles
tributaries	rivers
tributary	river
tributary's	river's
tripartite	three-part
triplicate	triple
triplicates	triples
trivialities	trifles
triviality	trifle
tumultuous	turbulent, violent
tumultuously	turbulently, violently
turpitude	wickedness, vice, vileness
typically	often
ulterior	hidden
unadvisedly	rashly
unassuming	modest
unassumingly	modestly
unavailability	lack
uncertainties	doubts
uncertainty	doubt
uncivilized	savage
uncommonly	rarely
uncompromising	firm, steadfast
uncompromisingly	firmly, steadfastly
uncultivated	wild
undulations	curves, waves
unequivocal	clear
unequivocally	clearly
unfaltering	firm, steadfast
unfalteringly	firmly, steadfastly
unfamiliar	unknown
unfounded	baseless
ungovernable	unruly
upon	on
usually	often
utilisabilities	uses
utilisability	usability, usefulness
utilisable	usable
utilisation	use
utilisations	uses
utilise	use
utilised	used
utiliser	user
utilisers	users
utilises	uses
utilising	using
utilities	tools
utility	tool
utility's	tool's
utilizabilities	uses
utilizability	usability, usefulness
utilizable	usable
utilization	use
utilizations	uses
utilize	use
utilized	used
utilizer	user
utilizers	users
utilizes	uses
utilizing	using
vacillate	waver
vacillated	wavered
vacillates	wavers
vacillating	wavering
vacuous	empty
validate	confirm
validated	confirmed
validates	confirms
validating	confirming
validation	confirmation
validations	confirmations
validity	truth
valorous	brave
valorously	bravely
value	cost, worth
variation	change, difference
variations	changes, differences
vehemence	ardor, fervor
vehement	eager, forceful
vehemently	fervorly
velocity	speed
venomous	spiteful
venomously	spitefully
ventilate	air out
ventilated	aired out
ventilates	airs out
ventilating	airing out
venturous	bold
verbatim	exact
verification	proof
vertically	upward
via	in, on, by
viable	practical, workable
vigilance	caution
vindicate	defend, uphold
vindicated	defended, upheld
vindicates	defends, upholds
vindicating	defending, upholding
visualize	picture, see
visualized	pictured, saw
visualizes	pictures, sees
visualizing	picturing, seeing
vitreous	glassy
vociferate	shout
vociferated	shouted
vociferates	shouts
vociferating	shouting
voluminous	large, bulky
whenever	when
whereas	because, since
whilst	while
witnessed	saw
